"5775 Glenridge Dr NE, Atlanta, GA, 30328","-84.361863313001,33.912936858955"
"15150 Preston Rd, Dallas, TX, 75248","-96.804210191628,32.955114736166"
"5775 Glenridge Dr, Atlanta, GA, 30328","-84.361863313001,33.912936858955"
"5930 Lyndon B Johnson Fwy, Dallas, TX, 75240","-96.804910193042,32.925130800237"
"6100 Lake Forrest Dr NW, Atlanta, GA, 30328","-84.387150137082,33.919369199198"
"8201 Preston Rd, Dallas, TX, 75225","-96.804264973714,32.862235995572"
"3550 Corporate Way, Duluth, GA, 30096","-84.166865680119,34.01630885787"
"8701 Bedford Euless Rd, Hurst, TX, 76053","-97.195511871009,32.833233663599"
"100 Crescent Center Pky, Tucker, GA, 30084","-84.247651314278,33.838211231067"
"299 Park Ave, New York, NY, 10171","-73.974410957119,40.756476980005"
"2520 Northwinds Pky, Alpharetta, GA, 30009","-84.283847497006,34.058628310223"
"3620 Dekalb Technology Pky, Doraville, GA, 30340","-84.270681550365,33.882242042573"
"1440 Dutch Valley Pl NE, Atlanta, GA, 30324","-84.36820514857,33.793178389322"
"11800 Amberpark Dr, Alpharetta, GA, 30009","-84.278880873361,34.067845794933"
"1850 Parkway Pl, Marietta, GA, 30067","-84.505139427601,33.938462366604"
"126 Fifth Ave, New York, NY, 10011","-73.991900337811,40.738478367657"
"901 Warrenville Rd, Lisle, IL, 60532","-88.065517151133,41.808377005466"
"584-590 Broadway, New York, NY, 10012","-73.997039649536,40.72500959489"
"3201 Old Glenview Rd, Wilmette, IL, 60091","-87.755633336401,42.065967655505"
"489 Fifth Ave, New York, NY, 10017","-73.981063969713,40.753116212643"
"2800 S River Rd, Des Plaines, IL, 60018","-87.864156664177,42.001330489014"
"2200 S Main St, Lombard, IL, 60148","-88.016562571173,41.845423740065"
"114 W 41st St, New York, NY, 10036","-73.984973277979,40.754270516889"
"370 Lexington Ave, New York, NY, 10017","-73.976868383141,40.750437411354"
"954 W Washington Blvd, Chicago, IL, 60607","-87.651336449164,41.883130852117"
"1140 Broadway, New York, NY, 10001","-73.988858602001,40.744186228279"
"901 W Jackson Blvd, Chicago, IL, 60607","-87.649658195873,41.877852851833"
"11 W 42nd St, New York, NY, 10036","-73.981234382162,40.753688596929"
"833 W Jackson Blvd, Chicago, IL, 60607","-87.648488196238,41.877870851765"
"111 W 33rd St, New York, NY, 10001","-73.988576043759,40.749339245507"
"641-651 W Lake St, Chicago, IL, 60661","-87.644609464264,41.885637850218"
"1400 Broadway, New York, NY, 10018","-73.987220127003,40.75293440846"
"230 W Monroe St, Chicago, IL, 60606","-87.634283735213,41.880710512946"
"580 Fifth Ave, New York, NY, 10036","-73.978594018412,40.756731294268"
"205 N Michigan Ave, Chicago, IL, 60601","-87.624438984965,41.885855555169"
"560 Lexington Ave, New York, NY, 10022","-73.972206113161,40.756831977078"
"20 S Clark St, Chicago, IL, 60603","-87.630956796239,41.881918080181"
"3930 E Jones Bridge Rd, Peachtree Corners, GA, 30092","-84.2151798085,33.984998274949"
"400 Galleria Pky SE, Atlanta, GA, 30339","-84.465014511987,33.883026366763"
"2077 Convention Center Concour, College Park, GA, 30337",
"3700 Crestwood Pky NW, Duluth, GA, 30096","-84.128726440279,33.946586218076"
"3391 Peachtree Rd NE, Atlanta, GA, 30326","-84.362791573344,33.84322703926"
"6250 Shiloh Rd, Alpharetta, GA, 30005","-84.208545804736,34.109281181942"
"3915 Cascade Rd, Atlanta, GA, 30331","-84.515409660358,33.725695346723"
"5 Concourse Pky NE, Atlanta, GA, 30328","-84.351063109633,33.916522741445"
"760 Old Roswell Rd, Roswell, GA, 30076","-84.340676555169,34.033546826527"
"8097 Roswell Rd, Atlanta, GA, 30350","-84.353804904986,33.974969659519"
"970 Peachtree Industrial Blvd, Suwanee, GA, 30024",
"30 Technology Pky S, Peachtree Corners, GA, 30092","-84.217369008931,33.96787543461"
"155 W 23rd St, New York, NY, 10011","-73.994326663841,40.743608533829"
"1033 Skokie Blvd, Northbrook, IL, 60062","-87.790614791465,42.136445006185"
"146 W 29th St, New York, NY, 10001","-73.991440768425,40.747168211165"
"500 Lake Cook Rd, Deerfield, IL, 60015","-87.839094945642,42.152818406941"
"150 W 30th St, New York, NY, 10001","-73.991103704953,40.747835778854"
"707 Skokie Blvd, Northbrook, IL, 60062","-87.792502871468,42.139353792397"
"1412 Broadway, New York, NY, 10018","-73.986999371445,40.753645095402"
"1S660 Midwest Rd, Oakbrook Terrace, IL, 60181","-87.972769481632,41.851013635535"
"1900 Spring Rd, Oak Brook, IL, 60523","-87.94892825633,41.854384312652"
"1385 Broadway, New York, NY, 10018","-73.987488081891,40.752486405969"
"1325 Avenue of the Americas, New York, NY, 10019","-73.978702014658,40.762373727447"
"1901 N Roselle Rd, Schaumburg, IL, 60195","-88.079436424741,42.06197027351"
"1359 Broadway, New York, NY, 10018","-73.987625213856,40.751881410161"
"3333 Warrenville Rd, Lisle, IL, 60532","-88.116074756339,41.808816817748"
"1350 Avenue Of The Americas, New York, NY, 10019","-73.978279207968,40.762716154658"
"360 W Butterfield Rd, Elmhurst, IL, 60126","-87.949206912309,41.865670198338"
"599 Lexington Ave, New York, NY, 10022","-73.970965011561,40.758294749773"
"750 W Lake Cook Rd, Buffalo Grove, IL, 60089","-87.975202653619,42.15216721795"
"594 Broadway, New York, NY, 10012","-73.996922756861,40.725147176537"
"40 Skokie Blvd, Northbrook, IL, 60062","-87.801402253517,42.151808248161"
"320 5th Ave, New York, NY, 10001","-73.985634645481,40.747081029858"
"2275 Half Day Rd, Bannockburn, IL, 60015",
"225 Peachtree St NE, Atlanta, GA, 30303","-84.387476430303,33.76190689771"
"229 Peachtree St NE, Atlanta, GA, 30303","-84.387476188174,33.761922393924"
"2299 Perimeter Park Dr, Atlanta, GA, 30341","-84.292787914521,33.917007375316"
"3535 Piedmont Rd NE, Atlanta, GA, 30305","-84.379450168449,33.851388651494"
"3080 Premiere Pky, Duluth, GA, 30097",
"286 Madison Ave, New York, NY, 10017","-73.980248962383,40.751601532167"
"8725 W Higgins Rd, Chicago, IL, 60631","-87.844865269685,41.987533705874"
"192 Lexington Ave, New York, NY, 10016","-73.980888480963,40.744919568464"
"1 Northfield Plz, Northfield, IL, 60093","-87.770053323681,42.094193639439"
"175 Varick St, New York, NY, 10014","-74.005610848603,40.727224609768"
"1220-1280 Iroquois Ave, Naperville, IL, 60563","-88.123903229922,41.793968472236"
"636 Broadway, New York, NY, 10012","-73.995950794179,40.726292363742"
"100 S Saunders Rd, Lake Forest, IL, 60045","-87.896202803081,42.238427643892"
"220 Fifth Ave, New York, NY, 10001","-73.988222754101,40.743528578559"
"1910 S Highland Ave, Lombard, IL, 60148","-88.011828409807,41.848858554774"
"1800 Nations Dr, Gurnee, IL, 60031","-87.942974639028,42.38393564174"
"171-173 Madison Ave, New York, NY, 10016","-73.983220330667,40.747279790454"
"900 Third Ave, New York, NY, 10022","-73.968966609611,40.758405716979"
"220 N Smith St, Palatine, IL, 60067","-88.048691341554,42.115166112528"
"16 W 22nd St, New York, NY, 10010","-73.99062301407,40.741044603822"
"75 Executive Dr, Aurora, IL, 60504","-88.216821055956,41.755815977262"
"650 Madison Ave, New York, NY, 10022","-73.971086179346,40.764155630395"
"255 38th Ave, St Charles, IL, 60174","-88.268303036085,41.918683070728"
"469 Seventh Ave, New York, NY, 10018","-73.989893220829,40.751877324615"
"1020 Milwaukee Ave, Deerfield, IL, 60015","-87.920355539134,42.163007447916"
"153 W 27th St, New York, NY, 10001","-73.992487757417,40.746126271288"
"2651 Warrenville Rd, Downers Grove, IL, 60515",
"1777 Northeast Expy, Atlanta, GA, 30329","-84.322229274134,33.837938931897"
"3835 Presidential Pky, Atlanta, GA, 30340","-84.26439902247,33.887936946424"
"6455 E Johns Xing, Johns Creek, GA, 30097","-84.168170840526,34.063666246116"
"2800 S IH-35, Austin, TX, 78704",
"111 John St, New York, NY, 10038","-74.005730114768,40.707715266414"
"2700 S River Rd, Des Plaines, IL, 60018","-87.864827609218,42.00268365768"
"237 Park Ave, New York, NY, 10017","-73.975780871725,40.754595569808"
"9550 W Higgins Rd, Rosemont, IL, 60018","-87.865057747114,41.993126832708"
"240 W 37th St, New York, NY, 10018","-73.99044945128,40.753335357765"
"1251 N Plum Grove Rd, Schaumburg, IL, 60173","-88.059889589904,42.051570658205"
"22 W 38th St, New York, NY, 10018","-73.983472145872,40.751206059145"
"1 Pierce Pl, Itasca, IL, 60143",
"214 W 39th St, New York, NY, 10018","-73.988826685617,40.754274569929"
"1111 Plaza Dr, Schaumburg, IL, 60173","-88.043201414256,42.048714544643"
"100 Church St, New York, NY, 10007",
"18W140 Butterfield Rd, Oakbrook Terrace, IL, 60181",
"40 Shuman Blvd, Naperville, IL, 60563","-88.147590902147,41.80353616362"
"462-468 Seventh Ave, New York, NY, 10018","-73.990041964017,40.751909522084"
"655 Third Ave, New York, NY, 10017","-73.974613107948,40.750425871938"
"5250 Old Orchard Rd, Skokie, IL, 60077","-87.758330511719,42.062603983974"
"2 W 46th St, New York, NY, 10036","-73.979124804048,40.756010191635"
"1815 S Meyers Rd, Oakbrook Terrace, IL, 60181","-87.991918212291,41.846032669769"
"17 Battery Place, New York, NY, 10004","-74.016313453199,40.704906150059"
"1901 S Meyers Rd, Oakbrook Terrace, IL, 60181","-87.991925545568,41.846280851023"
"2 Park Avenue, New York, NY, 10016",
"1315 W 22nd St, Oak Brook, IL, 60523","-87.949769213663,41.846818326136"
"520 Eighth Ave, New York, NY, 10018","-73.992398967249,40.753533351338"
"1751 Lake Cook Rd, Deerfield, IL, 60015","-87.87085297437,42.152883817324"
"55 Broadway, New York, NY, 10006","-74.012696772373,40.706645148701"
"150 E Pierce Rd, Itasca, IL, 60143","-88.012770358469,41.988102425986"
"500 Eighth Ave, New York, NY, 10018","-73.992878230548,40.752878062798"
"111 Barclay Blvd, Lincolnshire, IL, 60069","-87.936997165228,42.197256742963"
"250 W 55th St, New York, NY, 10019","-73.982887227966,40.764955343528"
"1100 W Lake Cook Rd, Buffalo Grove, IL, 60089","-87.980034905093,42.153673414758"
"494 Eighth Ave, New York, NY, 10001","-73.993013946011,40.752690961154"
"1375 E Woodfield Rd, Schaumburg, IL, 60173","-88.045729831974,42.043173845823"
"26 W 17th St, New York, NY, 10011","-73.993100369166,40.738219359939"
"600-650 Executive Dr, Willowbrook, IL, 60527","-87.939027639475,41.749937828956"
"261 W 35th St, New York, NY, 10001","-73.991824997109,40.752435456885"
"415 Washington St, Waukegan, IL, 60085","-87.834181494901,42.359516391661"
"5105 Tollview Dr, Rolling Meadows, IL, 60008","-88.021464204966,42.06029024164"
"80 8th Ave, New York, NY, 10011","-74.002295179909,40.739943592453"
"261 Fifth Ave, New York, NY, 10016","-73.986817658203,40.745226938525"
"60 Revere Dr, Northbrook, IL, 60062","-87.806532954991,42.152336098518"
"252-258 W 37th St, New York, NY, 10018","-73.990946713577,40.753544980272"
"1100 Lake St, Oak Park, IL, 60301","-87.804154052324,41.888649007453"
"240 W 35th St, New York, NY, 10001","-73.991344043403,40.752102308001"
"9399 W Higgins Rd, Rosemont, IL, 60018","-87.85983669979,41.99098755306"
"24-32 Union Sq E, New York, NY, 10003","-73.989447627024,40.735878268627"
"32 Avenue of the Americas, New York, NY, 10013","-74.005103503802,40.719287449457"
"32 Old Slip, New York, NY, 10005","-74.008117316511,40.703717769937"
"437 Madison Ave, New York, NY, 10022","-73.975940537449,40.757252861038"
"30 Broad St, New York, NY, 10004","-74.01131644789,40.706189976734"
"1201 Broadway, New York, NY, 10001","-73.988691461189,40.745914357467"
"3 World Trade Center, New York, NY, 10007",
"200 Vesey St, New York, NY, 10285","-74.013946700213,40.713838115406"
"3 E 28th St, New York, NY, 10016","-73.986984733688,40.744617489726"
"477 Madison Ave, New York, NY, 10022","-73.975031228268,40.758512063868"
"3100 Dundee Rd, Northbrook, IL, 60062","-87.855960248332,42.138409410338"
"28 W 36th St, New York, NY, 10018","-73.9852391383,40.750336704638"
"300 N Martingale Rd, Schaumburg, IL, 60173","-88.033668645156,42.032100902442"
"333 W 39th St, New York, NY, 10018","-73.992091408751,40.755781330828"
"1705 Woodland Dr E, Saline, MI, 48176",
"375 W Broadway, New York, NY, 10012","-74.002714456587,40.723517038292"
"36 W 25th St, New York, NY, 10010","-73.990062317901,40.743349690339"
"360 Park Ave S, New York, NY, 10010","-73.985145626166,40.741977512069"
"41 Madison Ave, New York, NY, 10010","-73.986614134703,40.742631677289"
"353 W 39th St, New York, NY, 10018","-73.992644829934,40.756014258153"
"345 Seventh Ave, New York, NY, 10001","-73.992769162837,40.747926749391"
"350 Seventh Ave, New York, NY, 10001","-73.99289697125,40.747988564358"
"330 W 38th St, New York, NY, 10018","-73.99256135326,40.755036932976"
"40 W 57th St, New York, NY, 10019","-73.975296252603,40.763456397141"
"32 W 39th St, New York, NY, 10018","-73.983341254447,40.751962870506"
"10 E 53rd St, New York, NY, 10022","-73.975266029512,40.760112595708"
"39 W 19th St, New York, NY, 10011","-73.992600163817,40.739669005321"
"675 Bering Dr, Houston, TX, 77057","-95.479641648601,29.76109161245"
"5825 N Sam Houston Pky W, Houston, TX, 77086","-95.511660569605,29.936465815015"
"505 Fifth Ave, New York, NY, 10017","-73.980681323827,40.753642703996"
"315 Madison Ave, New York, NY, 10017","-73.979258143543,40.752723830379"
"461 Fifth Ave, New York, NY, 10017","-73.981718177084,40.752220908429"
"44 Wall St, New York, NY, 10005","-74.009582925506,40.706505312208"
"116 Nassau St, New York, NY, 10038","-74.006918405853,40.710833585828"
"444 Madison Ave, New York, NY, 10022","-73.97569557944,40.757836606521"
"875 Washington St, New York, NY, 10014","-74.007206129787,40.741194993765"
"412 W 15th St, New York, NY, 10011","-74.00529581249,40.741757920403"
"5373 W Alabama St, Houston, TX, 77056","-95.469994916254,29.737938028976"
"38 W 21st St, New York, NY, 10010","-73.99177929012,40.740727803199"
"3250 W Big Beaver Rd, Troy, MI, 48084","-83.19057931047,42.561318310116"
"2000 Bering Dr, Houston, TX, 77057","-95.479555437229,29.745567063525"
"1000 John R Rd, Troy, MI, 48083","-83.107377473602,42.543923306189"
"2200 N Canton Center Rd, Canton, MI, 48187","-83.487631570325,42.318014250394"
"4545 Bissonnet St, Bellaire, TX, 77401","-95.453263292841,29.715034514003"
"521 N Sam Houston Pky E, Houston, TX, 77060","-95.396698567617,29.939594782565"
